Kd_Kecamatan,Kd_Kota,NamaKecamatan,Created_at,Modified_at,Delete_at
1109220,1109,BATEE,2022-08-22 10:19:08.316474,,
1109230,1109,MUARA TIGA,2022-08-22 10:19:08.316474,,
1110010,1110,SAMALANGA,2022-08-22 10:19:08.316474,,
1110011,1110,SIMPANG MAMPLAM,2022-08-22 10:19:08.316474,,
1110020,1110,PANDRAH,2022-08-22 10:19:08.316474,,
1110030,1110,JEUNIEB,2022-08-22 10:19:08.316474,,
1110031,1110,PEULIMBANG,2022-08-22 10:19:08.316474,,
1110040,1110,PEUDADA,2022-08-22 10:19:08.316474,,
1110050,1110,JULI,2022-08-22 10:19:08.316474,,
1110060,1110,JEUMPA,2022-08-22 10:19:08.316474,,
1110061,1110,KOTA JUANG,2022-08-22 10:19:08.316474,,
1110062,1110,KUALA,2022-08-22 10:19:08.316474,,
1110070,1110,JANGKA,2022-08-22 10:19:08.316474,,
1110080,1110,PEUSANGAN,2022-08-22 10:19:08.316474,,
1110081,1110,PEUSANGAN SELATAN,2022-08-22 10:19:08.316474,,
1110082,1110,PEUSANGAN SIBLAH KRUENG,2022-08-22 10:19:08.316474,,
1110090,1110,MAKMUR,2022-08-22 10:19:08.316474,,
1110100,1110,GANDA PURA,2022-08-22 10:19:08.316474,,
1110101,1110,KUTA BLANG,2022-08-22 10:19:08.316474,,
1111010,1111,SAWANG,2022-08-22 10:19:08.316474,,
1111020,1111,NISAM,2022-08-22 10:19:08.316474,,
1111021,1111,NISAM ANTARA,2022-08-22 10:19:08.316474,,
1111022,1111,BANDA BARO,2022-08-22 10:19:08.316474,,
1111030,1111,KUTA MAKMUR,2022-08-22 10:19:08.316474,,
1111031,1111,SIMPANG KERAMAT,2022-08-22 10:19:08.316474,,
1111040,1111,SYAMTALIRA BAYU,2022-08-22 10:19:08.316474,,
1111041,1111,GEUREUDONG PASE,2022-08-22 10:19:08.316474,,
1111050,1111,MEURAH MULIA,2022-08-22 10:19:08.316474,,
1111060,1111,MATANGKULI,2022-08-22 10:19:08.316474,,
1111061,1111,PAYA BAKONG,2022-08-22 10:19:08.316474,,
1111062,1111,PIRAK TIMU,2022-08-22 10:19:08.316474,,
1111070,1111,COT GIREK,2022-08-22 10:19:08.316474,,
1111080,1111,TANAH JAMBO AYE,2022-08-22 10:19:08.316474,,
1111081,1111,LANGKAHAN,2022-08-22 10:19:08.316474,,
1111090,1111,SEUNUDDON,2022-08-22 10:19:08.316474,,
1111100,1111,BAKTIYA,2022-08-22 10:19:08.316474,,
1111101,1111,BAKTIYA BARAT,2022-08-22 10:19:08.316474,,
1111110,1111,LHOKSUKON,2022-08-22 10:19:08.316474,,
1111120,1111,TANAH LUAS,2022-08-22 10:19:08.316474,,
1111121,1111,NIBONG,2022-08-22 10:19:08.316474,,
1111130,1111,SAMUDERA,2022-08-22 10:19:08.316474,,
1111140,1111,SYAMTALIRA ARON,2022-08-22 10:19:08.316474,,
1111150,1111,TANAH PASIR,2022-08-22 10:19:08.316474,,
1111151,1111,LAPANG,2022-08-22 10:19:08.316474,,
1111160,1111,MUARA BATU,2022-08-22 10:19:08.316474,,
1111170,1111,DEWANTARA,2022-08-22 10:19:08.316474,,
1112010,1112,MANGGENG,2022-08-22 10:19:08.316474,,
1112011,1112,LEMBAH SABIL,2022-08-22 10:19:08.316474,,
1112020,1112,TANGAN-TANGAN,2022-08-22 10:19:08.316474,,
1112021,1112,SETIA,2022-08-22 10:19:08.316474,,
1112030,1112,BLANG PIDIE,2022-08-22 10:19:08.316474,,
1112031,1112,JEUMPA,2022-08-22 10:19:08.316474,,
1112040,1112,SUSOH,2022-08-22 10:19:08.316474,,
1112050,1112,KUALA BATEE,2022-08-22 10:19:08.316474,,
1112060,1112,BABAH ROT,2022-08-22 10:19:08.316474,,
1113010,1113,KUTA PANJANG,2022-08-22 10:19:08.316474,,
1113011,1113,BLANG JERANGO,2022-08-22 10:19:08.316474,,
1113020,1113,BLANGKEJEREN,2022-08-22 10:19:08.316474,,
1113021,1113,PUTRI BETUNG,2022-08-22 10:19:08.316474,,
1113022,1113,DABUN GELANG,2022-08-22 10:19:08.316474,,
1113023,1113,BLANG PEGAYON,2022-08-22 10:19:08.316474,,
1113030,1113,PINING,2022-08-22 10:19:08.316474,,
1113040,1113,RIKIT GAIB,2022-08-22 10:19:08.316474,,
1113041,1113,PANTAN CUACA,2022-08-22 10:19:08.316474,,
1113050,1113,TERANGUN,2022-08-22 10:19:08.316474,,
1113051,1113,TRIPE JAYA,2022-08-22 10:19:08.316474,,
1114010,1114,TAMIANG HULU,2022-08-22 10:19:08.316474,,
1114011,1114,BANDAR PUSAKA,2022-08-22 10:19:08.316474,,
1114020,1114,KEJURUAN MUDA,2022-08-22 10:19:08.316474,,
1114021,1114,TENGGULUN,2022-08-22 10:19:08.316474,,
1114030,1114,RANTAU,2022-08-22 10:19:08.316474,,
1114040,1114,KOTA KUALA SIMPANG,2022-08-22 10:19:08.316474,,
1114050,1114,SERUWAY,2022-08-22 10:19:08.316474,,
1114060,1114,BENDAHARA,2022-08-22 10:19:08.316474,,
1114061,1114,BANDA MULIA,2022-08-22 10:19:08.316474,,
1114070,1114,KARANG BARU,2022-08-22 10:19:08.316474,,
1114071,1114,SEKERAK,2022-08-22 10:19:08.316474,,
1114080,1114,MANYAK PAYED,2022-08-22 10:19:08.316474,,
1115010,1115,DARUL MAKMUR,2022-08-22 10:19:08.316474,,
1115011,1115,TRIPA MAKMUR,2022-08-22 10:19:08.316474,,
1115020,1115,KUALA,2022-08-22 10:19:08.316474,,
1115021,1115,KUALA PESISIR,2022-08-22 10:19:08.316474,,
1115022,1115,TADU RAYA,2022-08-22 10:19:08.316474,,
1115030,1115,BEUTONG,2022-08-22 10:19:08.316474,,
1115031,1115,BEUTONG ATEUH BANGGALANG,2022-08-22 10:19:08.316474,,
1115040,1115,SEUNAGAN,2022-08-22 10:19:08.316474,,
1115041,1115,SUKA MAKMUE,2022-08-22 10:19:08.316474,,
1115050,1115,SEUNAGAN TIMUR,2022-08-22 10:19:08.316474,,
1116010,1116,TEUNOM,2022-08-22 10:19:08.316474,,
1116011,1116,PASIE RAYA,2022-08-22 10:19:08.316474,,
1116020,1116,PANGA,2022-08-22 10:19:08.316474,,
1116030,1116,KRUENG SABEE,2022-08-22 10:19:08.316474,,
1116040,1116,SETIA BAKTI,2022-08-22 10:19:08.316474,,
1116050,1116,SAMPOINIET,2022-08-22 10:19:08.316474,,
1116051,1116,DARUL HIKMAH,2022-08-22 10:19:08.316474,,
1116060,1116,JAYA,2022-08-22 10:19:08.316474,,
1116061,1116,INDRA JAYA,2022-08-22 10:19:08.316474,,
1117010,1117,TIMANG GAJAH,2022-08-22 10:19:08.316474,,
1117011,1117,GAJAH PUTIH,2022-08-22 10:19:08.316474,,
1117020,1117,PINTU RIME GAYO,2022-08-22 10:19:08.316474,,
1117030,1117,BUKIT,2022-08-22 10:19:08.316474,,
1117040,1117,WIH PESAM,2022-08-22 10:19:08.316474,,
1117050,1117,BANDAR,2022-08-22 10:19:08.316474,,
1117051,1117,BENER KELIPAH,2022-08-22 10:19:08.316474,,
1117060,1117,SYIAH UTAMA,2022-08-22 10:19:08.316474,,
1117061,1117,MESIDAH,2022-08-22 10:19:08.316474,,
1117070,1117,PERMATA,2022-08-22 10:19:08.316474,,
1118010,1118,MEUREUDU,2022-08-22 10:19:08.316474,,
1118020,1118,MEURAH DUA,2022-08-22 10:19:08.316474,,
1118030,1118,BANDAR DUA,2022-08-22 10:19:08.316474,,
1118040,1118,JANGKA BUYA,2022-08-22 10:19:08.316474,,
1118050,1118,ULIM,2022-08-22 10:19:08.316474,,
1118060,1118,TRIENGGADENG,2022-08-22 10:19:08.316474,,
1118070,1118,PANTERAJA,2022-08-22 10:19:08.316474,,
1118080,1118,BANDAR BARU,2022-08-22 10:19:08.316474,,
1171010,1171,MEURAXA,2022-08-22 10:19:08.316474,,
